Page Title,URL,Num Of Pictures,Num Of Languages,Num Of References,Num Of Contents,Num Of Tables,Num Of Categories,Num Of Redirects,Views In 30 Last Days,Avg Views Per Day,Total Views,Num Of Edits
Jos van Aert,https://en.wikipedia.org/wiki/Jos_van_Aert,3,6,3,0,0,5,1,88,3.809945217,9041,27
Chowkidar Chor Hai,https://en.wikipedia.org/wiki/Chowkidar_Chor_Hai,0,0,22,5,0,6,5,781,50.18415508,119087,322
SM-sarja,https://en.wikipedia.org/wiki/SM-sarja,1,6,0,5,1,3,0,150,10.47366203,24854,72
"Maharajpur, Kanpur","https://en.wikipedia.org/wiki/Maharajpur,_Kanpur",3,1,0,0,0,2,0,138,5.137378845,12191,23
XHEML-FM,https://en.wikipedia.org/wiki/XHEML-FM,3,0,1,0,0,3,0,18,2.550358196,6052,14
Paladilhia hungarica,https://en.wikipedia.org/wiki/Paladilhia_hungarica,0,6,4,0,0,6,0,7,2.485461441,5898,40
"Gondo, Central African Republic","https://en.wikipedia.org/wiki/Gondo,_Central_African_Republic",2,1,0,0,0,3,0,16,2.369995786,5624,12
Mullakkal Temple,https://en.wikipedia.org/wiki/Mullakkal_Temple,3,2,10,6,0,2,1,635,16.5954488,39381,74
Manchester University NHS Foundation Trust,https://en.wikipedia.org/wiki/Manchester_University_NHS_Foundation_Trust,1,2,19,7,0,2,0,832,14.85756426,35257,65
Ronald H. Fritze,https://en.wikipedia.org/wiki/Ronald_H._Fritze,0,2,6,5,0,8,1,247,11.25326591,26704,35
Bhoj Raj,https://en.wikipedia.org/wiki/Bhoj_Raj,0,1,2,4,0,5,0,"3,481",96.85672145,229841,77
Aboobakar Augustin,https://en.wikipedia.org/wiki/Aboobakar_Augustin,0,3,1,3,0,9,0,13,2.453013064,5821,26
John Runnings,https://en.wikipedia.org/wiki/John_Runnings,1,1,0,0,0,4,1,38,4.105351875,9742,48
Yukiya Yokoyama,https://en.wikipedia.org/wiki/Yukiya_Yokoyama,2,1,1,0,0,8,0,24,0.833544037,1978,5
Áed mac Conchobair,https://en.wikipedia.org/wiki/%C3%81ed_mac_Conchobair,2,5,3,0,0,5,1,20,3.244837758,7700,23
Tim Hartnell,https://en.wikipedia.org/wiki/Tim_Hartnell,0,0,1,0,0,5,1,29,5.491361146,13031,56
Thins,https://en.wikipedia.org/wiki/Thins,2,0,1,0,0,3,0,498,21.69363675,51479,63
Anastasios Bakasetas,https://en.wikipedia.org/wiki/Anastasios_Bakasetas,1,16,44,6,2,22,3,"3,960",87.65528866,208006,712
GPHS-RTG,https://en.wikipedia.org/wiki/GPHS-RTG,4,3,4,0,0,1,0,810,32.32490518,76707,59
Hippeastrum miniatum,https://en.wikipedia.org/wiki/Hippeastrum_miniatum,1,6,8,5,0,5,0,37,3.525073746,8365,34
The Lighter Side of...,https://en.wikipedia.org/wiki/The_Lighter_Side_of...,0,0,5,7,1,9,2,239,12.88959123,30587,26
"United States House Judiciary Subcommittee on Antitrust, Commercial and Administrative Law","https://en.wikipedia.org/wiki/United_States_House_Judiciary_Subcommittee_on_Antitrust,_Commercial_and_Administrative_Law",1,0,1,7,3,2,7,201,7.882427307,18705,84
Parallel Intelligence Agency,https://en.wikipedia.org/wiki/Parallel_Intelligence_Agency,3,1,2,0,0,2,0,74,5.518752634,13096,25
Rukiye Sultan (daughter of Murad III),https://en.wikipedia.org/wiki/Rukiye_Sultan_(daughter_of_Murad_III),1,0,2,0,0,1,0,137,0.092288243,219,6
Default trap,https://en.wikipedia.org/wiki/Default_trap,0,1,12,7,0,2,1,50,3.84660767,9128,159
Sheikh Abu Naser Stadium,https://en.wikipedia.org/wiki/Sheikh_Abu_Naser_Stadium,0,3,8,6,0,6,4,407,19.45722714,46172,182
E. Albee House,https://en.wikipedia.org/wiki/E._Albee_House,6,0,2,4,0,3,0,1,2.224610198,5279,28
Hermeuptychia fallax,https://en.wikipedia.org/wiki/Hermeuptychia_fallax,0,1,1,0,0,5,1,3,0.978929625,2323,13
Kolonia Łysowa,https://en.wikipedia.org/wiki/Kolonia_%C5%81ysowa,1,6,1,0,0,2,1,9,1.678887484,3984,12
Habroteleia persimilis,https://en.wikipedia.org/wiki/Habroteleia_persimilis,0,0,1,0,0,2,0,16,1.150863885,2731,5
386 BC,https://en.wikipedia.org/wiki/386_BC,1,74,0,0,0,1,2,90,8.039190898,19077,115
"Dowling Township, Knox County, Nebraska","https://en.wikipedia.org/wiki/Dowling_Township,_Knox_County,_Nebraska",2,2,1,0,0,3,2,5,2.056047198,4879,16
Yi Zuo,https://en.wikipedia.org/wiki/Yi_Zuo,0,0,12,0,0,5,1,20,3.109987358,7380,32
Winnebago Community Unit School District 323,https://en.wikipedia.org/wiki/Winnebago_Community_Unit_School_District_323,1,0,0,0,0,4,1,25,2.164770333,5137,15
Konstanty Wasyl Ostrogski,https://en.wikipedia.org/wiki/Konstanty_Wasyl_Ostrogski,4,12,5,0,0,11,4,220,11.74252002,27865,162
Rhammel Afflick,https://en.wikipedia.org/wiki/Rhammel_Afflick,1,1,53,5,1,17,1,290,2.597555836,6164,73
Work (human activity),https://en.wikipedia.org/wiki/Work_(human_activity),13,69,7,8,0,4,1,"2,172",19.01179941,45115,88
Radivoj Korać Cup MVP Award,https://en.wikipedia.org/wiki/Radivoj_Kora%C4%87_Cup_MVP_Award,1,0,12,4,1,4,0,43,2.289506953,5433,28
Eupithecia inoueata,https://en.wikipedia.org/wiki/Eupithecia_inoueata,0,0,2,0,0,4,0,12,1.327433628,3150,11
It's Effin' Science,https://en.wikipedia.org/wiki/It%27s_Effin%27_Science,0,1,5,5,1,5,1,56,10.03076275,23803,125
Petone,https://en.wikipedia.org/wiki/Petone,5,8,18,8,1,3,7,507,33.95828066,80583,145
John W. Thomas (Wisconsin politician),https://en.wikipedia.org/wiki/John_W._Thomas_(Wisconsin_politician),1,2,2,4,0,8,1,4,0.553308049,1313,16
"Krasny Oktyabr, Alexeyevsky District, Volgograd Oblast","https://en.wikipedia.org/wiki/Krasny_Oktyabr,_Alexeyevsky_District,_Volgograd_Oblast",4,7,2,0,0,2,0,5,0.364938896,866,9
O. H. Frazier,https://en.wikipedia.org/wiki/O._H._Frazier,2,0,22,10,0,6,3,193,17.10155921,40582,234
Francisco Velázquez,https://en.wikipedia.org/wiki/Francisco_Vel%C3%A1zquez,0,0,5,4,0,5,3,69,6.281500211,14906,86
Debbie Berman,https://en.wikipedia.org/wiki/Debbie_Berman,0,1,16,5,2,3,0,350,5.613147914,13320,18
Rice–Poindexter case,https://en.wikipedia.org/wiki/Rice%E2%80%93Poindexter_case,6,0,14,10,0,9,8,242,9.893383902,23477,201
Poul Petersen (footballer),https://en.wikipedia.org/wiki/Poul_Petersen_(footballer),1,11,4,0,0,17,0,48,5.555836494,13184,56
Parti des déshérités de Madagascar,https://en.wikipedia.org/wiki/Parti_des_d%C3%A9sh%C3%A9rit%C3%A9s_de_Madagascar,2,2,22,4,0,4,3,127,5.600505689,13290,27
Choi Sun-ho,https://en.wikipedia.org/wiki/Choi_Sun-ho,1,4,5,0,0,8,1,15,2.534344711,6014,17
Xenarthra,https://en.wikipedia.org/wiki/Xenarthra,14,62,23,5,0,4,7,"10,924",291.2587442,691157,431
Sky Eats Airplane (album),https://en.wikipedia.org/wiki/Sky_Eats_Airplane_(album),1,1,5,5,2,4,1,168,10.19047619,24182,134
Schefflera hierniana,https://en.wikipedia.org/wiki/Schefflera_hierniana,1,5,1,0,0,6,0,15,2.831437,6719,22
City guard,https://en.wikipedia.org/wiki/City_guard,2,7,4,3,0,8,2,874,24.77749684,58797,71
13th Sustainment Command (Expeditionary),https://en.wikipedia.org/wiki/13th_Sustainment_Command_(Expeditionary),4,0,18,15,0,4,5,696,47.87399916,113605,371
Stadio Marco Lorenzon,https://en.wikipedia.org/wiki/Stadio_Marco_Lorenzon,2,2,0,0,0,2,0,26,2.007585335,4764,6
2014–15 Youngstown State Penguins men's basketball team,https://en.wikipedia.org/wiki/2014%E2%80%9315_Youngstown_State_Penguins_men%27s_basketball_team,1,0,1,0,2,4,1,24,3.310998736,7857,47
Newcastelia,https://en.wikipedia.org/wiki/Newcastelia,5,3,4,0,0,6,0,21,2.662873999,6319,21
1996 Purdue Boilermakers football team,https://en.wikipedia.org/wiki/1996_Purdue_Boilermakers_football_team,7,0,11,7,19,3,2,212,10.60598399,25168,90
List of The Citadel Bulldogs head football coaches,https://en.wikipedia.org/wiki/List_of_The_Citadel_Bulldogs_head_football_coaches,0,0,11,4,2,3,0,90,4.904761905,11639,36
Oni Ise Owo,https://en.wikipedia.org/wiki/Oni_Ise_Owo,4,3,0,0,0,3,0,9,2.15507796,5114,15
Hire-Angrolli,https://en.wikipedia.org/wiki/Hire-Angrolli,1,1,1,0,0,2,0,8,2.11125158,5010,9
Aisso,https://en.wikipedia.org/wiki/Aisso,0,2,1,0,0,5,2,30,4.439106616,10534,57
Beaux-Arts Apartments,https://en.wikipedia.org/wiki/Beaux-Arts_Apartments,7,1,73,6,0,5,3,196,3.19890434,7591,20
Arthur Tatham,https://en.wikipedia.org/wiki/Arthur_Tatham,1,0,1,0,0,5,0,13,4.284871471,10168,34
Calliostoma atlantis,https://en.wikipedia.org/wiki/Calliostoma_atlantis,0,5,2,4,0,3,1,9,2.129372103,5053,21
Tong Shui Road,https://en.wikipedia.org/wiki/Tong_Shui_Road,1,2,1,0,0,2,0,26,2.867256637,6804,20
A. Robert Hirschfeld,https://en.wikipedia.org/wiki/A._Robert_Hirschfeld,0,0,5,5,0,8,2,221,7.669616519,18200,50
"North Geelong, Victoria","https://en.wikipedia.org/wiki/North_Geelong,_Victoria",1,0,6,11,0,1,5,131,12.10745891,28731,129
Richard Adelbert Lipsius,https://en.wikipedia.org/wiki/Richard_Adelbert_Lipsius,2,5,2,6,0,8,2,49,6.242730721,14814,49
Petros Efthymiou,https://en.wikipedia.org/wiki/Petros_Efthymiou,1,3,0,4,1,11,1,66,4.701222082,11156,56
Fishamble: The New Play Company,https://en.wikipedia.org/wiki/Fishamble:_The_New_Play_Company,1,0,23,7,0,2,0,30,4.224188791,10024,111
Brothers of the Brush,https://en.wikipedia.org/wiki/Brothers_of_the_Brush,1,0,2,0,0,3,1,25,3.222503161,7647,18
Alter (album),https://en.wikipedia.org/wiki/Alter_(album),2,0,0,0,0,4,2,22,3.179941003,7546,48
Sydney Finkelstein,https://en.wikipedia.org/wiki/Sydney_Finkelstein,0,1,8,2,0,5,2,52,11.26211547,26725,73
Mordellistena pseudonana,https://en.wikipedia.org/wiki/Mordellistena_pseudonana,0,6,1,0,0,3,0,9,1.201854193,2852,14
"Handia, Uttar Pradesh","https://en.wikipedia.org/wiki/Handia,_Uttar_Pradesh",2,17,9,6,0,1,0,522,21.80741677,51749,212
Pearson Mwanza,https://en.wikipedia.org/wiki/Pearson_Mwanza,0,4,4,5,0,19,0,44,3.684787189,8744,37
Felix Rexhausen,https://en.wikipedia.org/wiki/Felix_Rexhausen,1,2,3,0,0,11,1,42,5.414243574,12848,49
"Loxley, Warwickshire","https://en.wikipedia.org/wiki/Loxley,_Warwickshire",2,4,5,0,0,3,0,132,9.150442478,21714,52
Anolis armouri,https://en.wikipedia.org/wiki/Anolis_armouri,1,8,2,0,0,7,2,11,0.128950695,306,2
Mary Beth Cahill,https://en.wikipedia.org/wiki/Mary_Beth_Cahill,2,1,8,5,1,12,0,234,23.93173198,56790,122
Lac des Bouillouses,https://en.wikipedia.org/wiki/Lac_des_Bouillouses,3,4,0,0,0,2,5,38,4.553729456,10806,17
Cristina Otero,https://en.wikipedia.org/wiki/Cristina_Otero,4,5,10,5,0,8,1,110,10.83101559,25702,76
Melanophidium khairei,https://en.wikipedia.org/wiki/Melanophidium_khairei,2,2,5,0,0,4,1,81,2.461441214,5841,17
Alcanar,https://en.wikipedia.org/wiki/Alcanar,9,29,10,7,0,2,0,204,19.54867257,46389,95
Narthecium americanum,https://en.wikipedia.org/wiki/Narthecium_americanum,1,8,4,0,0,4,0,37,4.409186684,10463,15
John Gorrie Museum State Park,https://en.wikipedia.org/wiki/John_Gorrie_Museum_State_Park,4,1,0,0,0,11,1,39,7.512852929,17828,43
Syr-Darya dace,https://en.wikipedia.org/wiki/Syr-Darya_dace,1,7,1,0,0,3,1,6,0.638853772,1516,3
Akai AR900,https://en.wikipedia.org/wiki/Akai_AR900,1,0,3,0,0,3,0,32,3.782975137,8977,15
"Mount Marlow, Queensland","https://en.wikipedia.org/wiki/Mount_Marlow,_Queensland",1,0,6,4,0,3,0,18,1.881584492,4465,11
Georgia Makhlouf,https://en.wikipedia.org/wiki/Georgia_Makhlouf,1,5,5,4,0,5,1,26,1.429414244,3392,25
Dr. Who! (Tujamo and Plastik Funk song),https://en.wikipedia.org/wiki/Dr._Who!_(Tujamo_and_Plastik_Funk_song),1,0,8,5,1,4,6,89,10.51285293,24947,72
"Foreign Investment and NRI Cell, Government of Haryana","https://en.wikipedia.org/wiki/Foreign_Investment_and_NRI_Cell,_Government_of_Haryana",2,0,1,3,0,5,1,43,5.601348504,13292,43
Elfbuchen,https://en.wikipedia.org/wiki/Elfbuchen,3,2,0,0,0,2,0,2,1.523809524,3616,9
Peter Gloystein,https://en.wikipedia.org/wiki/Peter_Gloystein,0,2,0,5,0,9,3,41,4.629161399,10985,67
Banco Itaú Chile,https://en.wikipedia.org/wiki/Banco_Ita%C3%BA_Chile,3,1,1,0,0,9,1,139,8.118415508,19265,32
Ed Ames,https://en.wikipedia.org/wiki/Ed_Ames,12,5,13,7,1,29,8,"11,681",437.9587021,1039276,509
Echo Lake (software),https://en.wikipedia.org/wiki/Echo_Lake_(software),1,0,0,0,0,1,0,29,3.02359882,7175,19
"Frampton, Quebec","https://en.wikipedia.org/wiki/Frampton,_Quebec",5,7,4,0,0,5,2,104,7.358196376,17461,35
Empty Nest (film),https://en.wikipedia.org/wiki/Empty_Nest_(film),1,4,1,0,0,6,2,71,5.710914454,13552,31
Tom Keating (American football),https://en.wikipedia.org/wiki/Tom_Keating_(American_football),0,2,12,5,0,15,2,738,20.63885377,48976,104
Sheldon School,https://en.wikipedia.org/wiki/Sheldon_School,2,0,32,6,0,6,1,679,22.63379688,53710,492
3412 Kafka,https://en.wikipedia.org/wiki/3412_Kafka,0,23,7,5,0,6,0,30,7.456805731,17695,81
Teijsmanniodendron,https://en.wikipedia.org/wiki/Teijsmanniodendron,0,4,2,0,0,3,1,33,3.242309313,7694,7
Lake Lurleen,https://en.wikipedia.org/wiki/Lake_Lurleen,5,1,0,0,0,3,2,44,3.627054362,8607,31
Tarrama,https://en.wikipedia.org/wiki/Tarrama,2,5,10,4,0,2,3,8,3.557943531,8443,36
The Bachelor (American season 20),https://en.wikipedia.org/wiki/The_Bachelor_(American_season_20),1,0,53,5,3,11,2,"3,079",38.82469448,92131,"1,071"
Rhyme Book,https://en.wikipedia.org/wiki/Rhyme_Book,1,0,12,5,1,2,2,81,5.045933418,11974,124
No Fly List (India),https://en.wikipedia.org/wiki/No_Fly_List_(India),0,0,7,4,0,3,0,238,7.588284871,18007,18
Cantab College,https://en.wikipedia.org/wiki/Cantab_College,3,0,0,0,0,3,0,13,2.772861357,6580,16
Abortion Rights Coalition of Canada,https://en.wikipedia.org/wiki/Abortion_Rights_Coalition_of_Canada,2,0,4,5,0,6,1,67,4.87020649,11557,37
D.S.R.V. Laga,https://en.wikipedia.org/wiki/D.S.R.V._Laga,2,1,0,0,0,3,0,48,4.484618626,10642,11
Lasius californicus,https://en.wikipedia.org/wiki/Lasius_californicus,2,7,3,0,0,5,1,7,1.568900126,3723,12
Paul R. Farnsworth,https://en.wikipedia.org/wiki/Paul_R._Farnsworth,0,0,5,5,0,8,0,63,0.521281079,1237,11
Richard Ndassa,https://en.wikipedia.org/wiki/Richard_Ndassa,2,2,3,0,0,10,2,31,6.321955331,15002,33
Baháʼí Faith in Chile,https://en.wikipedia.org/wiki/Bah%C3%A1%CA%BC%C3%AD_Faith_in_Chile,2,1,39,6,0,3,4,32,1.592077539,3778,107
Mithapur Solar Power Plant,https://en.wikipedia.org/wiki/Mithapur_Solar_Power_Plant,1,1,5,6,1,5,2,33,8.182469448,19417,43
List of 1888–89 New Zealand Native football team matches,https://en.wikipedia.org/wiki/List_of_1888%E2%80%9389_New_Zealand_Native_football_team_matches,2,0,25,4,9,17,5,22,6.707121787,15916,181
Niels Grunenberg,https://en.wikipedia.org/wiki/Niels_Grunenberg,3,1,1,0,0,13,0,6,0.416350611,988,8
Never Too Late (2020 film),https://en.wikipedia.org/wiki/Never_Too_Late_(2020_film),2,1,9,5,0,10,1,"1,944",29.65318163,70367,42
Charles Bertie (professor),https://en.wikipedia.org/wiki/Charles_Bertie_(professor),1,1,3,0,0,8,0,8,2.766540244,6565,13
Deepsix,https://en.wikipedia.org/wiki/Deepsix,2,1,1,4,0,5,0,215,10.83775811,25718,27
2004 United States presidential election in Arizona,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arizona,4,0,15,7,3,3,4,"2,155",53.84450063,127773,170
Sahandabad Rural District,https://en.wikipedia.org/wiki/Sahandabad_Rural_District,1,6,2,0,0,3,1,5,2.120101138,5031,5
The Carnegie Hall Concerts: December 1944,https://en.wikipedia.org/wiki/The_Carnegie_Hall_Concerts:_December_1944,1,0,3,4,1,5,0,88,8.17867678,19408,22
Wild leek,https://en.wikipedia.org/wiki/Wild_leek,1,0,0,0,0,1,1,82,11.0337126,26183,8
Shepparton High School,https://en.wikipedia.org/wiki/Shepparton_High_School,2,0,7,5,0,7,1,61,5.777918247,13711,121
Father Is Being Stupid,https://en.wikipedia.org/wiki/Father_Is_Being_Stupid,2,1,1,4,0,7,1,8,1.862199747,4419,11
Pierre Camu,https://en.wikipedia.org/wiki/Pierre_Camu,0,1,0,0,1,13,0,19,3.475769069,8248,36
Ferdowsi Gas Field,https://en.wikipedia.org/wiki/Ferdowsi_Gas_Field,3,3,1,0,0,2,0,48,4.485040034,10643,36
Giant's Causeway,https://en.wikipedia.org/wiki/Giant%27s_Causeway,11,63,34,11,0,20,20,"31,299",1683.737042,3995508,"1,836"
"Jenckes House (Old Louisquisset Pike, Lincoln, Rhode Island)","https://en.wikipedia.org/wiki/Jenckes_House_(Old_Louisquisset_Pike,_Lincoln,_Rhode_Island)",4,0,2,0,0,5,0,15,2.927096502,6946,24
Ping Yeung,https://en.wikipedia.org/wiki/Ping_Yeung,2,1,3,4,0,3,0,50,3.88032027,9208,21
Winter Road River,https://en.wikipedia.org/wiki/Winter_Road_River,0,1,1,0,0,2,0,10,2.11293721,5014,9
Simon James Stevens,https://en.wikipedia.org/wiki/Simon_James_Stevens,1,0,30,5,0,6,0,83,2.565107459,6087,75
Frans Depooter,https://en.wikipedia.org/wiki/Frans_Depooter,1,3,0,0,0,5,0,19,3.407079646,8085,32
Gračanka,https://en.wikipedia.org/wiki/Gra%C4%8Danka,0,4,2,0,0,2,2,15,1.8482933,4386,23
AMCHA Initiative,https://en.wikipedia.org/wiki/AMCHA_Initiative,1,1,71,9,0,7,8,135,11.46017699,27195,304
"Pringle, Texas","https://en.wikipedia.org/wiki/Pringle,_Texas",1,2,0,0,0,4,1,37,3.833544037,9097,21
Sokół Sokółka,https://en.wikipedia.org/wiki/Sok%C3%B3%C5%82_Sok%C3%B3%C5%82ka,1,3,1,0,0,6,1,21,1.839443742,4365,24
Comparison of early word processors,https://en.wikipedia.org/wiki/Comparison_of_early_word_processors,0,0,0,0,1,4,0,324,20.40075853,48411,23
Muldas Bhudardas Vaishya,https://en.wikipedia.org/wiki/Muldas_Bhudardas_Vaishya,0,0,7,4,0,3,0,36,0.426042984,1011,12
Old Palm Golf Club,https://en.wikipedia.org/wiki/Old_Palm_Golf_Club,0,0,10,8,0,3,3,121,10.42772861,24745,26
"Mary Rich, Countess of Warwick","https://en.wikipedia.org/wiki/Mary_Rich,_Countess_of_Warwick",2,0,8,3,0,17,3,151,6.772439949,16071,126
Wołczyno,https://en.wikipedia.org/wiki/Wo%C5%82czyno,3,5,1,0,0,2,1,11,1.537715971,3649,6
John Montgomery Traherne,https://en.wikipedia.org/wiki/John_Montgomery_Traherne,0,1,9,6,0,11,0,21,2.560893384,6077,63
"Farmers Fork, Virginia","https://en.wikipedia.org/wiki/Farmers_Fork,_Virginia",2,0,0,0,0,2,0,8,2.07416772,4922,11
"United States Post Office (Sycamore, Illinois)","https://en.wikipedia.org/wiki/United_States_Post_Office_(Sycamore,_Illinois)",3,0,1,0,0,5,4,5,2.072060683,4917,31
Joel Pachao,https://en.wikipedia.org/wiki/Joel_Pachao,1,0,2,0,1,9,0,31,3.239359461,7687,22
John F. W. Rogers,https://en.wikipedia.org/wiki/John_F._W._Rogers,1,2,14,5,1,7,1,"1,964",29.78508217,70680,54
Hydrazine,https://en.wikipedia.org/wiki/Hydrazine,13,58,58,9,0,11,18,"24,459",1162.540244,2758708,"1,253"
Tesis,https://en.wikipedia.org/wiki/Tesis,1,16,4,5,1,12,1,"2,475",116.2873999,275950,186
Simadal Fjord,https://en.wikipedia.org/wiki/Simadal_Fjord,1,4,5,0,0,2,1,12,1.029077118,2442,4
Hastings line,https://en.wikipedia.org/wiki/Hastings_line,23,4,144,9,1,10,8,538,26.68984408,63335,940
Graham Hill (theologian),https://en.wikipedia.org/wiki/Graham_Hill_(theologian),1,0,37,7,0,5,3,86,1.828487147,4339,81
Hans-Bjørn Foxby,https://en.wikipedia.org/wiki/Hans-Bj%C3%B8rn_Foxby,3,0,2,0,0,6,0,17,2.736620312,6494,18
ShmooCon,https://en.wikipedia.org/wiki/ShmooCon,1,0,8,5,1,3,1,526,17.68984408,41978,106
2021 Liga Dominicana de Fútbol,https://en.wikipedia.org/wiki/2021_Liga_Dominicana_de_F%C3%BAtbol,0,2,0,5,4,5,0,225,0.136957438,325,11
Klanting,https://en.wikipedia.org/wiki/Klanting,1,2,1,0,0,2,0,20,2.079646018,4935,25
Limbi,https://en.wikipedia.org/wiki/Limbi,1,8,1,0,0,2,0,31,3.927096502,9319,11
List of botanical gardens and arboretums in Oregon,https://en.wikipedia.org/wiki/List_of_botanical_gardens_and_arboretums_in_Oregon,18,0,4,0,1,4,1,86,13.29667088,31553,14
Battaristis unistrigella,https://en.wikipedia.org/wiki/Battaristis_unistrigella,0,2,2,0,0,3,1,7,1.085124315,2575,12
Rodolphe Kasser,https://en.wikipedia.org/wiki/Rodolphe_Kasser,1,4,3,4,0,6,0,58,6.093973873,14461,51
"South African Class 9E, Series 2","https://en.wikipedia.org/wiki/South_African_Class_9E,_Series_2",4,0,6,6,0,7,1,84,9.059418458,21498,76
Shield of the Trinity,https://en.wikipedia.org/wiki/Shield_of_the_Trinity,15,9,7,7,0,4,14,"3,443",154.753898,367231,349
"Ministry of Commerce, Industry and Investment (South Sudan)","https://en.wikipedia.org/wiki/Ministry_of_Commerce,_Industry_and_Investment_(South_Sudan)",1,0,1,0,1,6,0,180,5.142014328,12202,23
Estola annulicornis,https://en.wikipedia.org/wiki/Estola_annulicornis,0,7,1,0,0,3,0,6,1.319426886,3131,9
Spilosoma lubricipeda,https://en.wikipedia.org/wiki/Spilosoma_lubricipeda,5,15,2,5,0,7,13,286,25.73198483,61062,97
Tribute (Paul Motian album),https://en.wikipedia.org/wiki/Tribute_(Paul_Motian_album),1,0,3,4,1,4,0,136,9.335440371,22153,27
Canada at the 2003 Pan American Games,https://en.wikipedia.org/wiki/Canada_at_the_2003_Pan_American_Games,29,1,1,4,8,3,0,22,4.530552044,10751,66
List of Japanese films of 1999,https://en.wikipedia.org/wiki/List_of_Japanese_films_of_1999,2,0,52,5,2,3,1,134,10.85124315,25750,114
L. Eudora Ashburne,https://en.wikipedia.org/wiki/L._Eudora_Ashburne,0,0,5,0,0,11,1,14,0.580699536,1378,22
MyEx.com,https://en.wikipedia.org/wiki/MyEx.com,0,0,10,5,0,2,0,"2,563",401.0674252,951733,48
Methanothermococcus okinawensis,https://en.wikipedia.org/wiki/Methanothermococcus_okinawensis,1,2,2,4,0,3,0,22,4.206489676,9982,40
Danny Farrell,https://en.wikipedia.org/wiki/Danny_Farrell,2,0,2,0,0,6,0,56,4.713442899,11185,40
Funny Girls,https://en.wikipedia.org/wiki/Funny_Girls,3,0,7,5,0,2,0,420,35.39738727,83998,150
1982 Waltham Forest London Borough Council election,https://en.wikipedia.org/wiki/1982_Waltham_Forest_London_Borough_Council_election,4,0,1,4,20,4,3,8,1.344289928,3190,11
Independent Book Publishers Association,https://en.wikipedia.org/wiki/Independent_Book_Publishers_Association,1,1,10,4,0,7,5,106,9.96965866,23658,59
Crambus angustalatellus,https://en.wikipedia.org/wiki/Crambus_angustalatellus,0,3,1,0,0,4,1,1,1.143699958,2714,12
Sumgait pogrom,https://en.wikipedia.org/wiki/Sumgait_pogrom,6,28,84,10,0,15,15,"1,975",113.3333333,268940,826
Global Estonian Cultural Days,https://en.wikipedia.org/wiki/Global_Estonian_Cultural_Days,0,1,2,0,0,2,1,4,0.388116308,921,3
Hyampom Airport,https://en.wikipedia.org/wiki/Hyampom_Airport,0,4,2,0,0,2,0,10,2.973451327,7056,16
John Stein (academic),https://en.wikipedia.org/wiki/John_Stein_(academic),0,0,19,4,0,7,0,46,8.457648546,20070,96
"Khorramabad, Nowbaran","https://en.wikipedia.org/wiki/Khorramabad,_Nowbaran",2,3,2,0,0,2,0,1,1.353982301,3213,3
Tanya Lukin Linklater,https://en.wikipedia.org/wiki/Tanya_Lukin_Linklater,0,2,33,5,0,9,1,97,3.350611041,7951,70
Tzini,https://en.wikipedia.org/wiki/Tzini,1,1,0,0,0,1,0,18,3.612305099,8572,12
Chong Pang Camp,https://en.wikipedia.org/wiki/Chong_Pang_Camp,2,0,1,0,0,4,1,332,13.65107459,32394,35
Battle of Puruarán,https://en.wikipedia.org/wiki/Battle_of_Puruar%C3%A1n,9,2,0,4,0,11,1,77,4.340497261,10300,19
"Nezamabad, Hamadan","https://en.wikipedia.org/wiki/Nezamabad,_Hamadan",2,4,2,0,0,2,1,5,1.460176991,3465,5
"Zakrzów, Środa Śląska County","https://en.wikipedia.org/wiki/Zakrz%C3%B3w,_%C5%9Aroda_%C5%9Al%C4%85ska_County",3,6,1,0,0,2,1,7,1.545722714,3668,18
Aganainae,https://en.wikipedia.org/wiki/Aganainae,2,6,2,4,0,3,2,81,5.321955331,12629,46
"Łazy, Lower Silesian Voivodeship","https://en.wikipedia.org/wiki/%C5%81azy,_Lower_Silesian_Voivodeship",2,6,1,0,0,2,1,8,1.961651917,4655,18
Die schwarzen Brüder,https://en.wikipedia.org/wiki/Die_schwarzen_Br%C3%BCder,3,11,1,7,0,6,1,464,25.01980615,59372,60
Army Science Board,https://en.wikipedia.org/wiki/Army_Science_Board,2,0,10,6,4,2,0,78,10.02064897,23779,63
Berdychiv Raion,https://en.wikipedia.org/wiki/Berdychiv_Raion,5,5,4,4,0,1,0,55,3.685208597,8745,38
AMP Capital,https://en.wikipedia.org/wiki/AMP_Capital,2,2,9,6,0,4,2,"1,267",63.50906026,150707,95
Femtotechnology,https://en.wikipedia.org/wiki/Femtotechnology,0,7,4,6,0,2,3,"1,026",162.8596713,386466,99
Colonia Felipe Pescador,https://en.wikipedia.org/wiki/Colonia_Felipe_Pescador,0,0,2,0,0,1,0,30,4.410450906,10466,9
Eilika Weber-Ban,https://en.wikipedia.org/wiki/Eilika_Weber-Ban,1,1,6,5,0,6,0,49,0.309734513,735,8
Fuller's Brewery,https://en.wikipedia.org/wiki/Fuller%27s_Brewery,9,7,31,6,0,6,4,"2,343",118.3097345,280749,466
Norebo conflict,https://en.wikipedia.org/wiki/Norebo_conflict,1,1,44,5,0,1,1,121,2.614833544,6205,77
LETA,https://en.wikipedia.org/wiki/LETA,5,7,1,0,0,5,0,115,14.49220396,34390,46
